unit,trainees,age,earnings
1,1,28,17700
2,1,34,10200
3,1,29,14400
4,1,25,20800
5,1,29,6100
6,1,23,28600
7,1,33,21900
8,1,27,28800
9,1,31,20300
10,1,26,28100
11,1,25,9400
12,1,27,14300
13,1,29,12500
14,1,24,19700
15,1,25,10100
16,1,43,10700
17,1,28,11500
18,1,27,10700
19,1,28,16300
20,0,43,20900
21,0,50,31000
22,0,30,21000
23,0,27,9300
24,0,54,41100
25,0,48,29800
26,0,39,42000
27,0,28,8800
28,0,24,25500
29,0,33,15500
31,0,26,400
32,0,31,26600
33,0,26,16500
34,0,34,24200
35,0,25,23300
36,0,24,9700
37,0,29,6200
38,0,35,30200
39,0,32,17800
40,0,23,9500
41,0,32,25900



































